date,value
23/07/17,1
03/07/17,6
23/07/18,2
03/07/18,7
25/05/19,7
25/05/17,8
25/05/18,5
25/05/16,6
11/06/17,2
11/06/18,14
07/09/16,5
07/09/18,5
22/07/18,1
07/09/17,6
20/05/16,11
20/05/17,5
18/04/19,9
18/04/18,4
18/04/17,3
18/04/16,3
14/08/15,3
26/03/19,2
05/10/18,10
26/03/18,5
05/10/17,9
14/08/12,1
15/08/17,5
05/10/16,11
15/08/18,6
05/10/15,3
15/08/15,2
15/08/16,5
26/03/13,1
26/03/17,3
26/03/16,4
12/06/18,12
01/09/15,4
01/09/16,5
01/09/17,4
01/09/18,5
12/06/17,9
30/06/16,5
30/06/17,12
30/06/18,1
14/08/18,8
14/08/17,5
14/08/16,4
20/05/18,6
20/05/19,10
22/07/14,2
22/07/15,1
22/07/16,9
22/07/17,2
18/06/16,3
02/09/18,1
07/07/16,4
07/07/15,1
07/07/18,2
07/07/17,9
13/08/18,9
18/06/18,5
15/06/18,5
15/06/17,11
15/06/16,6
26/05/16,5
26/05/17,10
26/05/18,5
26/05/19,4
21/07/16,3
21/07/15,4
21/07/18,5
21/07/17,6
10/08/18,1
10/08/17,3
10/08/16,3
10/08/15,3
04/10/15,1
04/10/17,9
04/10/16,10
05/09/16,3
04/10/18,5
05/09/15,2
05/09/18,4
13/08/16,5
05/09/17,8
13/08/15,4
02/09/16,9
02/09/17,2
02/09/15,4
11/08/16,1
01/10/15,5
01/10/16,2
11/08/15,3
29/03/19,7
11/08/18,2
11/08/17,7
09/07/18,3
29/03/17,8
29/03/18,5
29/03/16,4
24/05/19,11
09/07/16,3
24/05/18,3
09/07/15,1
24/05/17,9
04/09/18,5
24/05/16,6
04/09/17,5
01/10/18,4
03/09/13,1
03/09/15,4
08/07/17,3
08/07/16,1
02/10/16,2
02/10/17,5
02/10/18,8
03/09/18,4
23/05/16,1
03/09/17,2
23/05/18,6
23/05/17,13
02/10/15,2
28/03/19,7
23/05/19,9
28/03/18,9
28/03/17,10
08/07/18,1
28/03/16,12
04/09/15,2
16/06/18,4
16/06/17,5
16/06/16,5
02/11/18,7
02/11/17,4
24/03/18,5
09/09/17,4
15/11/16,8
24/03/19,1
09/09/18,5
20/07/18,10
15/11/15,3
15/11/18,4
18/02/18,2
20/07/17,7
21/12/16,3
02/11/16,6
24/03/16,11
09/09/15,3
18/02/19,4
15/11/17,11
24/03/17,6
09/09/16,4
20/07/16,5
21/12/15,5
02/11/15,8
